Kabupaten,Sekolah 
Banjarnegara,630
Banyumas,816
Batang,459
Blora,600
Boyolali,596
Brebes,899
Cilacap,1033
Demak,490
Grobogan,806
Jepara,598
Karanganyar,500
Kebumen,792
Kendal,574
Klaten,782
Kota Magelang,76
Kota Pekalongan,102
Kota Semarang,499
Kota Tegal,701
Kudus,441
Magelang,603
Pati,680
Pekalongan,515
Pemalang,747
Purbalingga,466
Purworejo,526
Rembang,375
Salatiga,95
Semarang,506
Sragen,578
Sukoharjo,458
Surakarta,250
Tegal,135
Temanggung,434
Wonogiri,772
Wonosobo,476
